years_maddison,gdppc_maddison2016,years_broadberry,gdppc_broadberry,years_TED,gdppc_TED,years_q1,gdppc_q1,years_q2,gdppc_q2
1872,1473.97,,,,,83.00,851.6490868,1391,1745.499474
1873,1466.21,,,,,84.00,852.2789537,1392,1713.231701
1874,1542.33,,,,,85.00,852.9088206,1393,1784.57702
1875,1550.12,,,,,86.00,853.5386875,1394,1887.247227
1876,1512.23,,,,,87.00,854.1685544,1395,1859.798668
1877,1521.93,,,,,88.00,854.7984214,1396,1832.350108
1878,1559.98,,,,,89.00,855.4282883,1397,1826.58801
1879,1564.48,,,,,90.00,856.0581552,1398,1808.777878
1880,1588.91,,,,,91.00,856.6880221,1399,1822.292634
1881,1636.91,,,,,92.00,857.317889,1400,1912.914807
1882,1656.96,,,,,93.00,857.9477559,1401,1924.019956
1883,1672.11,,,,,94.00,858.5776228,1402,1896.571397
1884,1646.78,,,,,95.00,859.2074897,1403,1992.012783
1885,1671.10,,,,,96.00,859.8373567,1404,1966.973831
1886,1707.58,,,,,97.00,860.4672236,1405,1872.056281
1887,1750.84,,,,,98.00,861.0970905,1406,1892.799858
1888,1741.75,,,,,99.00,861.7269574,1407,1862.941692
1889,1688.68,,,,,100.00,862.3568243,1408,1852.36038
1890,1689.66,,,,,101.00,862.9866912,1409,1861.055922
1891,1712.29,,,,,102.00,863.6165581,1410,1946.858882
1892,1714.22,,,,,103.00,864.246425,1411,1851.941332
1893,1741.10,,,,,104.00,864.876292,1412,1797.987098
1894,1750.85,,,,,105.00,865.5061589,1413,2122.34113
1895,1765.03,,,,,106.00,866.1360258,1414,2039.471614
1896,1791.42,,,,,107.00,866.7658927,1415,1944.554065
1897,1794.40,,,,,108.00,867.3957596,1416,1864.094156
1898,1787.22,,,,,109.00,868.0256265,1417,1896.885766
1899,1807.07,,,,,110.00,868.6554934,1418,1997.146367
1900,1854.69,,,,,111.00,869.2853603,1419,1957.649773
1901,1885.21,,,,,112.00,869.9152273,1420,1894.057112
1902,1915.14,,,,,113.00,870.5450942,1421,1975.040858
1903,1932.49,,,,,114.00,871.1749611,1422,2089.759099
1904,1966.44,,,,,115.00,871.804828,1423,2057.491326
1905,2006.75,,,,,116.00,872.4346949,1424,2109.559791
1906,2074.71,,,,,117.00,873.0645618,1425,2021.871062
1907,2111.64,,,,,118.00,873.6944287,1426,1999.241716
1908,2156.21,,,,,119.00,874.3242956,1427,2015.166079
1909,2173.42,,,,,120.00,874.9541625,1428,2129.88432
1910,2175.52,,,,,121.00,875.5840295,1429,2126.531828
1911,2199.16,,,,,122.00,876.2138964,1430,2065.348774
1912,2201.38,,,,,123.00,876.8437633,1431,1934.287123
1913,2304.79,,,,,124.00,877.4736302,1432,1885.152102
1914,2179.16,,,,,125.00,878.1034971,1433,2014.327984
1915,2069.69,,,,,126.00,878.733364,1434,2037.481167
1916,2240.26,,,,,127.00,879.3632309,1435,2022.080642
1917,2247.15,,,,,128.00,879.9930978,1436,1965.716801
1918,2190.67,,,,,129.00,880.6229648,1437,2029.833299
1919,2102.74,,,,,130.00,881.2528317,1438,2028.890414
1920,2152.78,,,,,131.00,881.8826986,1439,1936.382472
1921,2079.50,,,,,132.00,882.5125655,1440,1937.849194
1922,2231.23,,,,,133.00,883.1424324,1441,1934.496702
1923,2413.78,,,,,134.00,883.7722993,1442,1866.084828
1924,2456.98,,,,,135.00,884.4021662,1443,2038.633631
1925,2602.34,,,,,136.00,885.0320331,1444,1984.679397
1926,2600.23,,,,,137.00,885.6619001,1445,2041.567076
1927,2530.70,,,,,138.00,886.291767,1446,2014.118516
1928,2666.20,,,,,139.00,886.9216339,1447,2145.704005
1929,2777.99,,,,,140.00,887.5515008,1448,2108.617018
1930,2630.98,,,,,141.00,888.1813677,1449,2112.493347
1931,2578.90,,,,,142.00,888.8112346,1450,2027.214225
1932,2615.17,,,,,143.00,889.4411015,1451,2026.27134
1933,2565.06,,,,,144.00,890.0709684,1452,2063.882164
1934,2538.05,,,,,145.00,890.7008354,1453,2065.348886
1935,2654.11,,,,,146.00,891.3307023,1454,2042.71954
1936,2540.30,,,,,147.00,891.9605692,1455,1991.174913
1937,2772.27,,,,,148.00,892.5904361,1456,1944.449499
1938,2830.12,,,,,149.00,893.220303,1457,1938.687401
1939,2980.82,,,,,150.00,893.8501699,1458,2070.272889
1940,2897.09,,,,,151.00,894.4800368,1459,2127.160568
1941,2822.26,,,,,152.00,895.1099037,1460,2181.638639
1942,2648.29,,,,,153.00,895.7397707,1461,2183.105361
1943,2233.86,,,,,154.00,896.3696376,1462,2133.97034
1944,1797.19,,,,,155.00,896.9995045,1463,2089.654534
1945,1608.63,,,,,156.00,897.6293714,1464,1965.821703
1946,2161.68,,,,,157.00,898.2592383,1465,1960.059604
1947,2555.55,,,,,158.00,898.8891052,1466,1961.526326
1948,2735.26,,,,,159.00,899.5189721,1467,1979.860296
1949,2948.37,,,,,160.00,900.148839,1468,2029.519154
1950,3171.70,,,,,161.00,900.7787059,1469,2045.443517
1951,3450.71,,,,,162.00,901.4085729,1470,2109.560015
1952,3590.60,,,,,163.00,902.0384398,1471,2094.15949
1953,3829.82,,,,,164.00,902.6683067,1472,2037.795649
1954,3947.21,,,,,165.00,903.2981736,1473,1954.926133
1955,4189.74,,,,,166.00,903.9280405,1474,1934.706394
1956,4368.01,,,,,167.00,904.5579074,1475,1948.22115
1957,4590.97,,,,,168.00,905.1877743,1476,1920.772591
1958,4822.88,,,,,169.00,905.8176412,1477,1939.10656
1959,5130.81,,,,,170.00,906.4475082,1478,1988.765418
1960,5456.19,,,,,171.00,907.0773751,1479,1968.545679
1961,5852.67,,,,,172.00,907.707242,1480,1982.060435
1962,6203.01,,,,,173.00,908.3371089,1481,1981.11755
1963,6531.86,,,,,174.00,908.9669758,1482,1905.476855
1964,6727.94,,,,,175.00,909.5968427,1483,1873.209082
1965,6963.94,,,,,176.00,910.2267096,1484,1927.687154
1966,7366.02,,,,,177.00,910.8565765,1485,1991.803652
